type,place,lat,lng
Origin,France,47.1604526,2.389104
Publication,United States,39.3942961,-97.719363
Retelling,Jamaica,18.177151,-77.341940
Birth,Jamaica,21.6,-79
Author,Canada,58.481871, -103.812074
